epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5134.78,0.34675,0.42944,0.27894,0.79382,0.98845,0.98413,0.99372,0.96441,0.98845,0.98413,0.99372,0.9356,0.27243,0.29149,0.21063,0.77787,0.0006634,0.0006634,0.0006634
87,5194.41,0.3492,0.45738,0.2781,0.79419,0.98222,0.98413,0.99367,0.96432,0.98222,0.98413,0.99367,0.93779,0.27119,0.29388,0.2124,0.77379,0.00065944,0.00065944,0.00065944
88,5253.73,0.34628,0.42763,0.27999,0.79444,0.98552,0.97884,0.99333,0.96234,0.98552,0.97884,0.99333,0.94315,0.27473,0.30774,0.20905,0.77237,0.00065548,0.00065548,0.00065548
89,5313.74,0.34322,0.45037,0.27695,0.79398,0.99055,0.98413,0.9939,0.96471,0.99055,0.98413,0.9939,0.93094,0.27163,0.31503,0.20604,0.77516,0.00065152,0.00065152,0.00065152
90,5373.38,0.33527,0.43262,0.2734,0.79302,0.98339,0.98413,0.99246,0.96441,0.98339,0.98413,0.99246,0.93833,0.27584,0.30716,0.20469,0.77475,0.00064756,0.00064756,0.00064756
91,5433.01,0.33433,0.41434,0.26381,0.78964,0.9842,0.98882,0.99173,0.96191,0.9842,0.98882,0.99173,0.93643,0.26446,0.28699,0.19726,0.77293,0.0006436,0.0006436,0.0006436
92,5492.15,0.34574,0.42819,0.27287,0.78919,0.99025,0.97354,0.99045,0.96517,0.99025,0.97354,0.99045,0.93819,0.26787,0.29245,0.21982,0.77396,0.00063964,0.00063964,0.00063964
93,5551.73,0.35721,0.46157,0.27934,0.79408,0.98773,0.97354,0.98976,0.96206,0.98773,0.97354,0.98976,0.93298,0.2873,0.29799,0.22915,0.77584,0.00063568,0.00063568,0.00063568
94,5611.76,0.34061,0.41798,0.26888,0.79757,0.98788,0.98413,0.99366,0.96772,0.98788,0.98413,0.99366,0.94373,0.2766,0.2924,0.20282,0.77699,0.00063172,0.00063172,0.00063172
95,5671.83,0.33974,0.43651,0.27119,0.78887,0.98911,0.98413,0.99389,0.96666,0.98911,0.98413,0.99389,0.9349,0.26614,0.28472,0.20815,0.77178,0.00062776,0.00062776,0.00062776
96,5730.9,0.34513,0.42862,0.27504,0.7928,0.98638,0.98942,0.99345,0.96728,0.98638,0.98942,0.99345,0.94427,0.26217,0.28377,0.20665,0.7719,0.0006238,0.0006238,0.0006238
97,5790.82,0.3457,0.44397,0.27489,0.78792,0.97894,0.98364,0.99383,0.97037,0.97894,0.98364,0.99383,0.93828,0.26855,0.29808,0.20387,0.77536,0.00061984,0.00061984,0.00061984
98,5850.93,0.34285,0.42753,0.26381,0.7897,0.98847,0.98413,0.99285,0.96613,0.98847,0.98413,0.99285,0.93684,0.2654,0.28771,0.19884,0.771,0.00061588,0.00061588,0.00061588
99,5910.62,0.34105,0.42237,0.26963,0.78725,0.98867,0.97884,0.99269,0.9606,0.98867,0.97884,0.99269,0.93315,0.27792,0.31322,0.20365,0.7743,0.00061192,0.00061192,0.00061192
100,5970.32,0.3302,0.42436,0.2611,0.79221,0.99301,0.96825,0.99291,0.96479,0.99301,0.96825,0.99291,0.94378,0.27206,0.29148,0.20746,0.77233,0.00060796,0.00060796,0.00060796
101,6029.93,0.34058,0.43232,0.26215,0.79228,0.99462,0.9779,0.99363,0.96767,0.99462,0.9779,0.99363,0.94107,0.2641,0.29393,0.20215,0.77218,0.000604,0.000604,0.000604
102,6089.79,0.33711,0.44188,0.26634,0.78866,0.99923,0.97354,0.99338,0.9649,0.99923,0.97354,0.99338,0.9419,0.2724,0.29276,0.20148,0.77262,0.00060004,0.00060004,0.00060004
103,6149.37,0.33639,0.42296,0.27348,0.7927,0.99468,0.9889,0.99399,0.969,0.99468,0.9889,0.99399,0.94354,0.26961,0.29291,0.19686,0.77075,0.00059608,0.00059608,0.00059608
104,6208.65,0.34203,0.41703,0.26009,0.79725,0.98229,0.98413,0.99275,0.96653,0.98229,0.98413,0.99275,0.93565,0.2707,0.29736,0.2113,0.77249,0.00059212,0.00059212,0.00059212
105,6268.25,0.33011,0.4227,0.26744,0.79795,0.99405,0.97884,0.99087,0.97086,0.99405,0.97884,0.99087,0.93456,0.24853,0.27797,0.20846,0.77113,0.00058816,0.00058816,0.00058816
106,6327.66,0.33227,0.40927,0.26419,0.7835,0.99442,0.97884,0.9925,0.96377,0.99442,0.97884,0.9925,0.94048,0.26643,0.282,0.20082,0.77295,0.0005842,0.0005842,0.0005842
107,6387.29,0.33205,0.42276,0.26187,0.78236,0.9885,0.97884,0.99288,0.97001,0.9885,0.97884,0.99288,0.94109,0.25487,0.29098,0.19275,0.77163,0.00058024,0.00058024,0.00058024
108,6446.54,0.33491,0.4244,0.26294,0.79138,0.98618,0.98413,0.99391,0.96433,0.98618,0.98413,0.99391,0.93548,0.26764,0.30657,0.19756,0.77112,0.00057628,0.00057628,0.00057628
109,6506,0.33554,0.42224,0.25987,0.79433,0.99465,0.98392,0.99416,0.96704,0.99465,0.98392,0.99416,0.94654,0.25839,0.28319,0.1889,0.77168,0.00057232,0.00057232,0.00057232
110,6565.63,0.33414,0.41855,0.25801,0.7877,0.99395,0.97354,0.9934,0.96078,0.99395,0.97354,0.9934,0.93742,0.26965,0.29063,0.19599,0.7712,0.00056836,0.00056836,0.00056836
111,6624.99,0.33321,0.4172,0.25058,0.78505,0.97877,0.97582,0.99353,0.96315,0.97794,0.98413,0.99378,0.93634,0.26178,0.29692,0.19788,0.77394,0.0005644,0.0005644,0.0005644
